Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hour,Request Day,Trip Duration(minutes)
79,City,,No Cars Available,2016-07-11 04:43,,4,Monday,
80,City,3,Cancelled,2016-07-11 04:47,,4,Monday,
81,Airport,73,Trip Completed,2016-07-11 04:47,2016-07-11 06:00,4,Monday,73
82,Airport,290,Trip Completed,2016-07-11 04:47,2016-07-11 05:23,4,Monday,36
83,City,,No Cars Available,2016-07-11 04:44,,4,Monday,
84,City,28,Trip Completed,2016-07-11 04:50,2016-07-11 05:26,4,Monday,36
85,City,144,Cancelled,2016-07-11 04:47,,4,Monday,
86,City,174,Cancelled,2016-07-11 04:51,,4,Monday,
87,City,213,Trip Completed,2016-07-11 04:46,2016-07-11 05:26,4,Monday,40
88,Airport,76,Trip Completed,2016-07-11 04:54,2016-07-11 06:07,4,Monday,73
89,City,280,Trip Completed,2016-07-11 04:52,2016-07-11 05:51,4,Monday,59
90,Airport,126,Trip Completed,2016-07-11 04:53,2016-07-11 05:34,4,Monday,41
91,Airport,234,Trip Completed,2016-07-11 04:49,2016-07-11 05:39,4,Monday,50
92,City,16,Cancelled,2016-07-11 04:53,,4,Monday,
93,City,69,Trip Completed,2016-07-11 04:53,2016-07-11 05:30,4,Monday,37
94,City,265,Trip Completed,2016-07-11 04:59,2016-07-11 05:58,4,Monday,59
95,Airport,270,Trip Completed,2016-07-11 04:54,2016-07-11 06:03,4,Monday,69
96,City,21,Cancelled,2016-07-11 04:58,,4,Monday,
97,City,138,Trip Completed,2016-07-11 05:01,2016-07-11 05:39,5,Monday,38
98,City,205,Cancelled,2016-07-11 04:58,,4,Monday,
99,City,70,Cancelled,2016-07-11 05:00,,5,Monday,
100,City,256,Trip Completed,2016-07-11 05:00,2016-07-11 05:47,5,Monday,47
101,Airport,99,Trip Completed,2016-07-11 05:08,2016-07-11 06:09,5,Monday,61
102,Airport,100,Trip Completed,2016-07-11 05:01,2016-07-11 05:38,5,Monday,37
103,City,,No Cars Available,2016-07-11 05:02,,5,Monday,
104,City,,No Cars Available,2016-07-11 05:00,,5,Monday,
105,City,182,Cancelled,2016-07-11 04:58,,4,Monday,
106,City,194,Trip Completed,2016-07-11 05:06,2016-07-11 05:38,5,Monday,32
107,City,215,Cancelled,2016-07-11 05:02,,5,Monday,
108,City,248,Cancelled,2016-07-11 05:09,,5,Monday,
109,City,284,Cancelled,2016-07-11 05:01,,5,Monday,
110,City,22,Trip Completed,2016-07-11 05:05,2016-07-11 06:06,5,Monday,61
111,City,62,Cancelled,2016-07-11 05:06,,5,Monday,
112,Airport,116,Trip Completed,2016-07-11 05:01,2016-07-11 06:04,5,Monday,63
113,City,185,Cancelled,2016-07-11 05:09,,5,Monday,
114,City,217,Trip Completed,2016-07-11 05:10,2016-07-11 05:40,5,Monday,30
115,City,244,Cancelled,2016-07-11 05:14,,5,Monday,
116,Airport,286,Trip Completed,2016-07-11 05:07,2016-07-11 05:53,5,Monday,46
117,City,,No Cars Available,2016-07-11 05:13,,5,Monday,
118,Airport,44,Trip Completed,2016-07-11 05:11,2016-07-11 05:52,5,Monday,41
119,City,204,Cancelled,2016-07-11 05:10,,5,Monday,
120,City,268,Cancelled,2016-07-11 05:04,,5,Monday,
121,Airport,63,Trip Completed,2016-07-11 05:13,2016-07-11 06:08,5,Monday,55
122,City,124,Cancelled,2016-07-11 05:14,,5,Monday,
123,City,130,Trip Completed,2016-07-11 05:12,2016-07-11 06:14,5,Monday,62
124,City,,No Cars Available,2016-07-11 05:12,,5,Monday,
125,City,38,Trip Completed,2016-07-11 05:12,2016-07-11 06:17,5,Monday,65
126,City,40,Cancelled,2016-07-11 05:05,,5,Monday,
127,City,173,Cancelled,2016-07-11 05:10,,5,Monday,
128,City,43,Trip Completed,2016-07-11 05:12,2016-07-11 05:48,5,Monday,36
129,City,189,Cancelled,2016-07-11 05:10,,5,Monday,
130,City,206,Cancelled,2016-07-11 05:12,,5,Monday,
131,City,,No Cars Available,2016-07-11 05:10,,5,Monday,
132,City,21,Cancelled,2016-07-11 05:15,,5,Monday,
133,City,247,Cancelled,2016-07-11 05:14,,5,Monday,
134,Airport,121,Trip Completed,2016-07-11 05:13,2016-07-11 06:14,5,Monday,61
135,City,,No Cars Available,2016-07-11 05:20,,5,Monday,
136,City,,No Cars Available,2016-07-11 05:19,,5,Monday,
137,City,,No Cars Available,2016-07-11 05:17,,5,Monday,
138,City,,No Cars Available,2016-07-11 05:20,,5,Monday,
139,Airport,14,Trip Completed,2016-07-11 05:21,2016-07-11 06:09,5,Monday,48
140,City,279,Cancelled,2016-07-11 05:17,,5,Monday,
141,City,49,Cancelled,2016-07-11 05:20,,5,Monday,
142,City,134,Trip Completed,2016-07-11 05:25,2016-07-11 06:19,5,Monday,54
143,Airport,157,Trip Completed,2016-07-11 05:24,2016-07-11 06:01,5,Monday,37
144,City,291,Cancelled,2016-07-11 05:24,,5,Monday,
145,City,33,Trip Completed,2016-07-11 05:32,2016-07-11 06:37,5,Monday,65
146,Airport,191,Trip Completed,2016-07-11 05:29,2016-07-11 06:08,5,Monday,39
147,City,267,Cancelled,2016-07-11 05:26,,5,Monday,
148,Airport,105,Trip Completed,2016-07-11 05:36,2016-07-11 06:46,5,Monday,70
149,City,111,Cancelled,2016-07-11 05:29,,5,Monday,
150,City,9,Cancelled,2016-07-11 05:24,,5,Monday,
151,City,290,Cancelled,2016-07-11 05:27,,5,Monday,
152,City,294,Trip Completed,2016-07-11 05:29,2016-07-11 06:16,5,Monday,47
153,City,,No Cars Available,2016-07-11 05:33,,5,Monday,
154,City,,No Cars Available,2016-07-11 05:31,,5,Monday,
155,City,13,Trip Completed,2016-07-11 05:32,2016-07-11 06:28,5,Monday,56
156,Airport,96,Trip Completed,2016-07-11 05:35,2016-07-11 06:40,5,Monday,65
157,City,226,Cancelled,2016-07-11 05:38,,5,Monday,
158,City,289,Trip Completed,2016-07-11 05:35,2016-07-11 06:41,5,Monday,66
159,City,,No Cars Available,2016-07-11 05:43,,5,Monday,
160,Airport,72,Trip Completed,2016-07-11 05:38,2016-07-11 06:34,5,Monday,56
161,Airport,107,Trip Completed,2016-07-11 05:36,2016-07-11 06:10,5,Monday,34
162,City,70,Cancelled,2016-07-11 05:34,,5,Monday,
163,City,161,Trip Completed,2016-07-11 05:35,2016-07-11 06:49,5,Monday,74
164,City,137,Cancelled,2016-07-11 05:40,,5,Monday,
165,Airport,199,Trip Completed,2016-07-11 05:39,2016-07-11 06:11,5,Monday,32
166,City,269,Cancelled,2016-07-11 05:41,,5,Monday,
167,City,,No Cars Available,2016-07-11 05:40,,5,Monday,
168,City,62,Cancelled,2016-07-11 05:37,,5,Monday,
169,City,184,Trip Completed,2016-07-11 05:45,2016-07-11 06:48,5,Monday,63
170,City,113,Trip Completed,2016-07-11 05:45,2016-07-11 06:39,5,Monday,54
171,City,,No Cars Available,2016-07-11 05:39,,5,Monday,
172,Airport,59,Trip Completed,2016-07-11 05:41,2016-07-11 06:19,5,Monday,38
173,City,188,Trip Completed,2016-07-11 05:45,2016-07-11 06:30,5,Monday,45
174,Airport,119,Cancelled,2016-07-11 05:44,,5,Monday,
175,City,160,Cancelled,2016-07-11 05:45,,5,Monday,
176,City,67,Cancelled,2016-07-11 05:42,,5,Monday,
177,City,169,Cancelled,2016-07-11 05:48,,5,Monday,
178,City,,No Cars Available,2016-07-11 05:47,,5,Monday,
179,City,,No Cars Available,2016-07-11 05:49,,5,Monday,
180,Airport,112,Trip Completed,2016-07-11 05:48,2016-07-11 06:28,5,Monday,40
181,City,159,Cancelled,2016-07-11 05:46,,5,Monday,
182,Airport,225,Trip Completed,2016-07-11 05:46,2016-07-11 06:58,5,Monday,72
183,City,252,Trip Completed,2016-07-11 05:49,2016-07-11 06:29,5,Monday,40
184,City,292,Cancelled,2016-07-11 05:49,,5,Monday,
185,City,236,Cancelled,2016-07-11 05:43,,5,Monday,
186,City,288,Cancelled,2016-07-11 05:48,,5,Monday,
187,City,62,Cancelled,2016-07-11 05:57,,5,Monday,
188,City,114,Cancelled,2016-07-11 05:54,,5,Monday,
189,City,,No Cars Available,2016-07-11 05:58,,5,Monday,
190,City,,No Cars Available,2016-07-11 05:53,,5,Monday,
191,Airport,37,Trip Completed,2016-07-11 05:55,2016-07-11 06:45,5,Monday,50
192,City,202,Cancelled,2016-07-11 05:56,,5,Monday,
193,City,213,Cancelled,2016-07-11 05:58,,5,Monday,
194,City,,No Cars Available,2016-07-11 06:05,,6,Monday,
195,City,297,Trip Completed,2016-07-11 06:05,2016-07-11 06:52,6,Monday,47
196,Airport,24,Cancelled,2016-07-11 06:07,,6,Monday,
197,City,202,Trip Completed,2016-07-11 06:00,2016-07-11 06:49,6,Monday,49
198,Airport,249,Trip Completed,2016-07-11 06:03,2016-07-11 06:44,6,Monday,41
199,City,,No Cars Available,2016-07-11 06:07,,6,Monday,
200,City,36,Cancelled,2016-07-11 06:10,,6,Monday,
201,City,76,Trip Completed,2016-07-11 06:09,2016-07-11 07:20,6,Monday,71
202,City,94,Cancelled,2016-07-11 06:09,,6,Monday,
203,City,,No Cars Available,2016-07-11 06:07,,6,Monday,
204,City,27,Trip Completed,2016-07-11 06:04,2016-07-11 06:44,6,Monday,40
205,Airport,230,Trip Completed,2016-07-11 06:10,2016-07-11 07:10,6,Monday,60
206,City,232,Trip Completed,2016-07-11 06:07,2016-07-11 06:37,6,Monday,30
207,City,,No Cars Available,2016-07-11 06:06,,6,Monday,
208,Airport,,No Cars Available,2016-07-11 06:05,,6,Monday,
209,City,50,Cancelled,2016-07-11 06:11,,6,Monday,
210,City,79,Cancelled,2016-07-11 06:12,,6,Monday,
211,City,100,Trip Completed,2016-07-11 06:08,2016-07-11 06:47,6,Monday,39
212,City,106,Cancelled,2016-07-11 06:09,,6,Monday,
213,City,116,Trip Completed,2016-07-11 06:15,2016-07-11 06:57,6,Monday,42
214,City,215,Trip Completed,2016-07-11 06:13,2016-07-11 06:53,6,Monday,40
215,City,14,Trip Completed,2016-07-11 06:15,2016-07-11 07:07,6,Monday,52
216,City,54,Cancelled,2016-07-11 06:13,,6,Monday,
217,City,183,Cancelled,2016-07-11 06:12,,6,Monday,
218,City,30,Cancelled,2016-07-11 06:14,,6,Monday,
219,City,283,Cancelled,2016-07-11 06:15,,6,Monday,
220,Airport,203,Trip Completed,2016-07-11 06:11,2016-07-11 06:55,6,Monday,44
221,City,,No Cars Available,2016-07-11 06:16,,6,Monday,
222,Airport,247,Trip Completed,2016-07-11 06:20,2016-07-11 07:10,6,Monday,50
223,Airport,160,Trip Completed,2016-07-11 06:13,2016-07-11 07:05,6,Monday,52
224,City,191,Cancelled,2016-07-11 06:17,,6,Monday,
225,City,245,Trip Completed,2016-07-11 06:16,2016-07-11 07:28,6,Monday,72
226,City,,No Cars Available,2016-07-11 06:21,,6,Monday,
227,Airport,151,Cancelled,2016-07-11 06:20,,6,Monday,
228,City,,No Cars Available,2016-07-11 06:24,,6,Monday,
229,City,131,Cancelled,2016-07-11 06:23,,6,Monday,
230,City,,No Cars Available,2016-07-11 06:27,,6,Monday,
231,City,,No Cars Available,2016-07-11 06:26,,6,Monday,
232,City,22,Cancelled,2016-07-11 06:26,,6,Monday,
233,City,9,Cancelled,2016-07-11 06:27,,6,Monday,
234,City,54,Trip Completed,2016-07-11 06:27,2016-07-11 07:23,6,Monday,56
235,City,61,Cancelled,2016-07-11 06:22,,6,Monday,
236,City,24,Cancelled,2016-07-11 06:32,,6,Monday,
237,City,56,Cancelled,2016-07-11 06:29,,6,Monday,
238,City,42,Trip Completed,2016-07-11 06:27,2016-07-11 07:15,6,Monday,48
239,City,98,Cancelled,2016-07-11 06:25,,6,Monday,
240,City,168,Cancelled,2016-07-11 06:29,,6,Monday,
241,City,108,Trip Completed,2016-07-11 06:31,2016-07-11 07:17,6,Monday,46
242,Airport,139,Trip Completed,2016-07-11 06:31,2016-07-11 07:21,6,Monday,50
243,City,144,Trip Completed,2016-07-11 06:34,2016-07-11 07:09,6,Monday,35
244,City,211,Cancelled,2016-07-11 06:31,,6,Monday,
245,City,69,Cancelled,2016-07-11 06:33,,6,Monday,
246,Airport,87,Trip Completed,2016-07-11 06:35,2016-07-11 07:10,6,Monday,35
247,City,7,Cancelled,2016-07-11 06:33,,6,Monday,
248,City,166,Trip Completed,2016-07-11 06:38,2016-07-11 07:45,6,Monday,67
249,City,39,Trip Completed,2016-07-11 06:31,2016-07-11 07:14,6,Monday,43
250,Airport,66,Trip Completed,2016-07-11 06:29,2016-07-11 07:34,6,Monday,65
251,Airport,268,Trip Completed,2016-07-11 06:36,2016-07-11 07:08,6,Monday,32
252,City,107,Cancelled,2016-07-11 06:36,,6,Monday,
253,City,130,Cancelled,2016-07-11 06:43,,6,Monday,
254,City,,No Cars Available,2016-07-11 06:40,,6,Monday,
255,City,,No Cars Available,2016-07-11 06:44,,6,Monday,
256,Airport,80,Trip Completed,2016-07-11 06:44,2016-07-11 07:38,6,Monday,54
257,Airport,89,Trip Completed,2016-07-11 06:38,2016-07-11 07:50,6,Monday,72
258,Airport,273,Trip Completed,2016-07-11 06:36,2016-07-11 07:19,6,Monday,43
259,City,,No Cars Available,2016-07-11 06:46,,6,Monday,
260,City,118,Trip Completed,2016-07-11 06:45,2016-07-11 07:54,6,Monday,69
261,City,165,Cancelled,2016-07-11 06:42,,6,Monday,
262,City,220,Cancelled,2016-07-11 06:41,,6,Monday,
263,City,,No Cars Available,2016-07-11 06:44,,6,Monday,
264,City,12,Trip Completed,2016-07-11 06:51,2016-07-11 07:40,6,Monday,49
265,City,193,Cancelled,2016-07-11 06:47,,6,Monday,
266,City,,No Cars Available,2016-07-11 06:47,,6,Monday,
267,City,2,Trip Completed,2016-07-11 06:46,2016-07-11 07:25,6,Monday,39
268,City,206,Cancelled,2016-07-11 06:52,,6,Monday,
269,City,81,Trip Completed,2016-07-11 06:44,2016-07-11 07:43,6,Monday,59
270,City,124,Trip Completed,2016-07-11 06:54,2016-07-11 07:50,6,Monday,56
271,Airport,243,Trip Completed,2016-07-11 06:53,2016-07-11 07:31,6,Monday,38
272,City,,No Cars Available,2016-07-11 06:50,,6,Monday,
273,Airport,261,Trip Completed,2016-07-11 06:51,2016-07-11 07:55,6,Monday,64
274,City,,No Cars Available,2016-07-11 06:50,,6,Monday,
275,City,22,Cancelled,2016-07-11 07:00,,7,Monday,
276,City,27,Cancelled,2016-07-11 06:52,,6,Monday,
277,City,198,Cancelled,2016-07-11 06:59,,6,Monday,
278,City,50,Cancelled,2016-07-11 06:55,,6,Monday,
279,Airport,109,Trip Completed,2016-07-11 06:58,2016-07-11 07:47,6,Monday,49
280,Airport,219,Trip Completed,2016-07-11 07:05,2016-07-11 07:41,7,Monday,36
281,City,131,Trip Completed,2016-07-11 07:01,2016-07-11 08:10,7,Monday,69
282,City,141,Trip Completed,2016-07-11 06:56,2016-07-11 08:11,6,Monday,75
283,Airport,196,Trip Completed,2016-07-11 07:01,2016-07-11 07:32,7,Monday,31
284,City,298,Cancelled,2016-07-11 07:05,,7,Monday,
285,City,74,Trip Completed,2016-07-11 07:02,2016-07-11 07:40,7,Monday,38
286,City,82,Trip Completed,2016-07-11 06:58,2016-07-11 07:54,6,Monday,56
287,City,,No Cars Available,2016-07-11 07:05,,7,Monday,
288,City,,No Cars Available,2016-07-11 07:05,,7,Monday,
289,City,44,Cancelled,2016-07-11 07:09,,7,Monday,
290,City,195,Cancelled,2016-07-11 07:13,,7,Monday,
291,City,224,Cancelled,2016-07-11 07:06,,7,Monday,
292,City,231,Trip Completed,2016-07-11 07:14,2016-07-11 07:51,7,Monday,37
293,City,176,Cancelled,2016-07-11 07:07,,7,Monday,
294,City,278,Cancelled,2016-07-11 07:12,,7,Monday,
295,Airport,297,Cancelled,2016-07-11 07:10,,7,Monday,
296,Airport,144,Trip Completed,2016-07-11 07:12,2016-07-11 07:54,7,Monday,42
297,Airport,206,Trip Completed,2016-07-11 07:13,2016-07-11 07:43,7,Monday,30
298,City,238,Cancelled,2016-07-11 07:15,,7,Monday,
299,City,284,Cancelled,2016-07-11 07:13,,7,Monday,
300,City,,No Cars Available,2016-07-11 07:13,,7,Monday,
301,City,233,Trip Completed,2016-07-11 07:17,2016-07-11 08:18,7,Monday,61
302,City,209,Cancelled,2016-07-11 07:17,,7,Monday,
303,Airport,276,Trip Completed,2016-07-11 07:19,2016-07-11 08:01,7,Monday,42
304,City,221,Trip Completed,2016-07-11 07:21,2016-07-11 07:50,7,Monday,29
305,City,272,Cancelled,2016-07-11 07:17,,7,Monday,
306,City,15,Cancelled,2016-07-11 07:20,,7,Monday,
307,City,70,Cancelled,2016-07-11 07:20,,7,Monday,
308,City,105,Cancelled,2016-07-11 07:22,,7,Monday,
309,City,240,Cancelled,2016-07-11 07:18,,7,Monday,
310,Airport,13,Trip Completed,2016-07-11 07:24,2016-07-11 08:28,7,Monday,64
311,Airport,149,Trip Completed,2016-07-11 07:27,2016-07-11 08:08,7,Monday,41
312,City,5,Trip Completed,2016-07-11 07:27,2016-07-11 08:31,7,Monday,64
313,City,53,Trip Completed,2016-07-11 07:26,2016-07-11 08:35,7,Monday,69
314,Airport,275,Trip Completed,2016-07-11 07:28,2016-07-11 08:15,7,Monday,47
315,City,278,Cancelled,2016-07-11 07:34,,7,Monday,
316,City,290,Cancelled,2016-07-11 07:26,,7,Monday,
317,City,145,Cancelled,2016-07-11 07:29,,7,Monday,
318,City,146,Trip Completed,2016-07-11 07:28,2016-07-11 08:43,7,Monday,75
319,City,161,Cancelled,2016-07-11 07:33,,7,Monday,
320,City,187,Trip Completed,2016-07-11 07:32,2016-07-11 08:44,7,Monday,72
321,City,119,Cancelled,2016-07-11 07:30,,7,Monday,
322,City,26,Trip Completed,2016-07-11 07:31,2016-07-11 08:10,7,Monday,39
323,City,57,Cancelled,2016-07-11 07:36,,7,Monday,
324,City,85,Cancelled,2016-07-11 07:40,,7,Monday,
325,City,182,Trip Completed,2016-07-11 07:34,2016-07-11 08:44,7,Monday,70
326,City,110,Cancelled,2016-07-11 07:33,,7,Monday,
327,City,240,Cancelled,2016-07-11 07:33,,7,Monday,
328,City,59,Cancelled,2016-07-11 07:33,,7,Monday,
329,Airport,254,Trip Completed,2016-07-11 07:42,2016-07-11 08:49,7,Monday,67
330,Airport,223,Trip Completed,2016-07-11 07:39,2016-07-11 08:52,7,Monday,73
331,City,,No Cars Available,2016-07-11 07:47,,7,Monday,
332,City,259,Cancelled,2016-07-11 07:40,,7,Monday,
333,City,37,Trip Completed,2016-07-11 07:43,2016-07-11 08:53,7,Monday,70
334,City,103,Cancelled,2016-07-11 07:40,,7,Monday,
335,City,197,Trip Completed,2016-07-11 07:39,2016-07-11 08:23,7,Monday,44
336,Airport,81,Trip Completed,2016-07-11 07:50,2016-07-11 08:44,7,Monday,54
337,City,,No Cars Available,2016-07-11 07:50,,7,Monday,
338,City,248,Trip Completed,2016-07-11 07:50,2016-07-11 08:55,7,Monday,65
339,Airport,44,Trip Completed,2016-07-11 07:49,2016-07-11 08:45,7,Monday,56
340,City,289,Cancelled,2016-07-11 07:51,,7,Monday,
341,City,94,Cancelled,2016-07-11 07:46,,7,Monday,
342,City,,No Cars Available,2016-07-11 07:51,,7,Monday,
343,City,129,Trip Completed,2016-07-11 07:57,2016-07-11 08:55,7,Monday,58
344,City,,No Cars Available,2016-07-11 07:52,,7,Monday,
345,City,164,Cancelled,2016-07-11 07:52,,7,Monday,
346,City,273,Cancelled,2016-07-11 07:54,,7,Monday,
347,City,284,Cancelled,2016-07-11 07:51,,7,Monday,
348,City,,No Cars Available,2016-07-11 07:54,,7,Monday,
349,City,,No Cars Available,2016-07-11 07:51,,7,Monday,
350,City,96,Trip Completed,2016-07-11 07:53,2016-07-11 08:40,7,Monday,47
351,City,99,Trip Completed,2016-07-11 07:53,2016-07-11 08:55,7,Monday,62
352,City,20,Cancelled,2016-07-11 07:54,,7,Monday,
353,City,72,Cancelled,2016-07-11 07:55,,7,Monday,
354,City,116,Cancelled,2016-07-11 07:59,,7,Monday,
355,City,176,Cancelled,2016-07-11 07:54,,7,Monday,
356,City,,No Cars Available,2016-07-11 08:03,,8,Monday,
357,Airport,24,Trip Completed,2016-07-11 08:00,2016-07-11 09:08,8,Monday,68
358,City,153,Cancelled,2016-07-11 08:00,,8,Monday,
359,City,,No Cars Available,2016-07-11 07:58,,7,Monday,
360,Airport,35,Trip Completed,2016-07-11 08:02,2016-07-11 09:05,8,Monday,63
361,City,262,Trip Completed,2016-07-11 08:05,2016-07-11 08:48,8,Monday,43
362,City,22,Trip Completed,2016-07-11 08:01,2016-07-11 09:18,8,Monday,77
363,City,249,Cancelled,2016-07-11 08:02,,8,Monday,
364,City,,No Cars Available,2016-07-11 08:05,,8,Monday,
365,City,,No Cars Available,2016-07-11 08:07,,8,Monday,
366,City,158,Cancelled,2016-07-11 08:04,,8,Monday,
367,City,,No Cars Available,2016-07-11 08:03,,8,Monday,
368,City,111,Cancelled,2016-07-11 08:06,,8,Monday,
369,City,,No Cars Available,2016-07-11 08:04,,8,Monday,
370,City,73,Trip Completed,2016-07-11 08:06,2016-07-11 08:32,8,Monday,26
371,City,158,Cancelled,2016-07-11 08:07,,8,Monday,
372,City,,No Cars Available,2016-07-11 08:07,,8,Monday,
373,Airport,102,Trip Completed,2016-07-11 08:09,2016-07-11 09:16,8,Monday,67
374,Airport,264,Trip Completed,2016-07-11 08:10,2016-07-11 09:03,8,Monday,53
375,Airport,279,Trip Completed,2016-07-11 08:07,2016-07-11 09:26,8,Monday,79
376,City,77,Trip Completed,2016-07-11 08:11,2016-07-11 08:49,8,Monday,38
377,City,47,Cancelled,2016-07-11 08:11,,8,Monday,
378,City,186,Cancelled,2016-07-11 08:08,,8,Monday,
379,City,130,Cancelled,2016-07-11 08:18,,8,Monday,
380,Airport,8,Trip Completed,2016-07-11 08:18,2016-07-11 09:18,8,Monday,60
381,City,108,Cancelled,2016-07-11 08:16,,8,Monday,
382,City,253,Trip Completed,2016-07-11 08:17,2016-07-11 09:11,8,Monday,54
383,City,200,Cancelled,2016-07-11 08:21,,8,Monday,
